class,category,orbit,free_cost,free_gates,free_wires,free_depth,w2_frontier,w1_frontier,capped_tradeoff,constructive,fold_premium,fold_proven
0x0000,LTF,2,0,0,0,0,0g0w,0g0w,,constant,,
0x0001,LTF,32,5,1,4,1,1g4w,1g4w,,single-gate,,
0x0003,LTF,64,4,1,3,1,1g3w,1g3w,,single-gate,,
0x0006,dec:AND/OR,96,11,3,8,2,3g8w,3g8w,,shell,2,True
0x0007,LTF,192,5,1,4,1,1g4w,3g6w,,single-gate,,
0x000f,LTF,48,3,1,2,1,1g2w,1g2w,,single-gate,,
0x0016,dec:AND/OR,128,12,3,9,2,3g9w,3g9w,,shell,2,True
0x0017,LTF,128,5,1,4,1,1g4w,3g6w,,single-gate,,
0x0018,dec:AND/OR,64,12,3,9,2,3g9w,3g10w,,,2,True
0x0019,dec:AND/OR,384,11,3,8,2,3g8w,3g9w,,shell,2,True
0x001b,dec:AND/OR,384,10,3,7,2,3g7w,3g8w,,shell,2,True
0x001e,dec:AND/OR,384,12,3,9,2,3g9w,4g12w;5g11w,yes,,2,True
0x001f,LTF,384,5,1,4,1,3g6w,3g7w,,single-gate,,
0x003c,dec:AND/OR,96,10,3,7,2,3g7w,3g7w,,shell,2,True
0x003d,dec:AND/OR,384,11,3,8,2,3g8w,3g9w,,shell,2,True
0x003f,LTF,192,4,1,3,1,1g3w,3g5w,,single-gate,,
0x0069,dec:AND/OR,32,16,4,12,2,4g12w,4g12w,,,1,True
0x006b,dec:AND/OR,128,13,3,10,2,3g10w,4g10w,,,1,True
0x006f,dec:AND/OR,192,12,3,9,2,3g9w,4g9w,,,1,True
0x007e,dec:AND/OR,64,12,3,9,2,3g9w,3g10w,,,2,True
0x007f,LTF,128,5,1,4,1,3g6w,3g6w,,single-gate,,
0x00ff,LTF,8,2,1,1,1,1g1w,1g1w,,single-gate,,
0x0116,symmetric,32,13,3,10,2,3g10w,3g10w,,shell,,
0x0117,LTF,32,5,1,4,1,1g4w,1g4w,,single-gate,,
0x0118,prime:tangle,192,13,3,10,2,3g10w,4g11w,,shell,,
0x0119,prime:tangle,192,11,3,8,2,3g8w,4g10w,,,,
0x011a,prime:tangle,384,12,3,9,2,3g9w,4g11w,,shell,,
0x011b,prime:tangle,384,10,3,7,2,3g7w,3g7w,,,,
0x011e,dec:MUX,192,13,3,10,2,3g10w,4g13w;6g12w,yes,shell,5,False
0x011f,LTF,192,5,1,4,1,1g4w,3g8w;4g7w,yes,single-gate,,
0x012c,prime:tangle,384,13,3,10,2,4g11w,4g12w,,,,
0x012d,prime:tangle,768,12,3,9,2,3g10w,4g11w,,,,
0x012f,prime:tangle,384,11,3,8,2,3g8w,4g9w,,,,
0x013c,prime:tangle,384,12,3,9,2,3g9w,4g11w,,shell,,
0x013d,prime:tangle,384,11,3,8,2,3g8w,3g8w,,shell,,
0x013e,prime:tangle,384,13,3,10,2,4g12w,4g12w,,,,
0x013f,LTF,384,5,1,4,1,3g7w,3g7w,,single-gate,,
0x0168,prime:tangle,128,13,3,10,2,3g10w,4g14w,,shell,,
0x0169,prime:tangle,128,15,4,11,2,4g11w,4g11w,,,,
0x016a,prime:tangle,384,13,3,10,2,3g10w,5g15w;6g13w,yes,shell,,
0x016b,prime:tangle,384,15,4,11,2,4g11w,4g12w,,,,
0x016e,prime:tangle,384,12,3,9,2,3g9w,4g14w,,shell,,
0x016f,prime:tangle,384,12,3,9,2,3g9w,4g11w,,shell,,
0x017e,prime:tangle,128,13,3,10,2,3g10w,4g15w;5g14w;6g13w,yes,shell,,
0x017f,LTF,64,5,1,4,1,1g4w,4g8w,,single-gate,,
0x0180,prime:tangle,16,13,3,10,2,3g10w,3g10w,,,,
0x0181,prime:tangle,128,12,3,9,2,3g9w,3g9w,,,,
0x0182,prime:tangle,96,13,3,10,2,4g11w,4g11w,,,,
0x0183,prime:tangle,384,12,3,9,2,3g9w,4g10w,,,,
0x0186,prime:tangle,192,13,3,10,2,3g10w,4g13w,,,,
0x0187,prime:tangle,384,12,3,9,2,3g9w,4g11w,,shell,,
0x0189,prime:tangle,192,11,3,8,2,3g8w,3g8w,,shell,,
0x018b,prime:tangle,384,12,3,9,2,3g9w,4g9w,,shell,,
0x018f,prime:tangle,192,11,3,8,2,3g8w,4g11w,,shell,,
0x0196,prime:tangle,128,17,4,13,2,4g13w,4g13w,,,,
0x0197,prime:tangle,128,13,3,10,2,3g10w,3g10w,,,,
0x0198,prime:tangle,384,13,3,10,2,4g12w,4g12w,,,,
0x0199,prime:tangle,384,11,3,8,2,3g9w,4g10w,,,,
0x019a,prime:tangle,768,13,3,10,2,4g11w,4g13w,,,,
0x019b,prime:tangle,768,11,3,8,2,3g8w,4g11w,,,,
0x019e,prime:tangle,384,16,4,12,2,4g12w,4g14w,,,,
0x019f,prime:tangle,384,12,3,9,2,3g9w,3g9w,,,,
0x01a8,dec:MUX,192,13,3,10,2,3g10w,4g11w,,,5,False
0x01a9,dec:MUX,384,12,3,9,2,3g9w,4g11w,,,2,True
0x01aa,dec:MUX,192,11,3,8,2,3g8w,3g8w,,shell,2,True
0x01ab,dec:MUX,384,10,3,7,2,3g7w,3g7w,,shell,2,True
0x01ac,prime:tangle,768,15,4,11,2,4g11w,4g13w,,,,
0x01ad,prime:tangle,768,13,3,10,2,3g10w,4g12w,,,,
0x01ae,prime:tangle,768,12,3,9,2,3g9w,4g11w,,,,
0x01af,prime:tangle,768,10,3,7,2,3g7w,4g9w,,,,
0x01bc,prime:tangle,384,13,3,10,2,4g12w,4g12w,,,,
0x01bd,prime:tangle,384,12,3,9,2,3g10w,4g11w,,,,
0x01be,prime:tangle,384,16,4,12,2,4g12w,4g12w,,,,
0x01bf,prime:tangle,192,11,3,8,2,3g8w,3g8w,,,,
0x01e8,prime:tangle,128,13,3,10,2,3g10w,4g12w;5g11w,yes,,,
0x01e9,prime:tangle,128,12,3,9,2,3g9w,4g12w,,,,
0x01ea,prime:tangle,384,13,3,10,2,4g11w,4g12w,,,,
0x01eb,prime:tangle,384,12,3,9,2,3g10w,4g11w,,,,
0x01ee,dec:MUX,384,12,3,9,2,3g9w,4g11w,,,2,True
0x01ef,dec:MUX,192,11,3,8,2,3g8w,4g10w,,,2,True
0x01fe,dec:XOR,64,13,3,10,2,4g11w;5g10w,4g12w;5g10w,yes,,2,True
0x033c,dec:AND/OR,64,11,3,8,2,3g8w,3g8w,,shell,6,True
0x033d,prime:tangle,128,12,3,9,2,3g9w,3g9w,,shell,,
0x033f,LTF,32,4,1,3,1,1g3w,1g3w,,single-gate,,
0x0356,dec:XOR,96,13,3,10,2,3g10w,4g15w;5g10w,yes,,2,True
0x0357,dec:AND/OR,96,9,3,6,2,3g6w,3g6w,,,0,True
0x0358,prime:tangle,384,16,4,12,2,4g12w,4g13w,,shell,,
0x0359,prime:tangle,384,16,4,12,2,4g12w,5g16w;6g13w,yes,,,
0x035a,prime:tangle,768,13,3,10,2,4g11w,4g11w,,,,
0x035b,prime:tangle,768,12,3,9,2,3g9w,4g10w,,,,
0x035e,prime:tangle,384,16,4,12,2,4g12w,5g14w;6g13w,yes,,,
0x035f,prime:tangle,192,10,3,7,2,3g7w,4g8w,,shell,,
0x0368,prime:tangle,384,13,3,10,2,4g12w,4g13w,,,,
0x0369,prime:tangle,384,16,4,12,2,4g12w,5g15w,,,,
0x036a,prime:tangle,384,13,3,10,2,4g12w;5g11w,4g15w;5g11w,yes,,,
0x036b,prime:tangle,384,13,3,10,2,3g10w,4g12w,,,,
0x036c,prime:tangle,768,13,3,10,2,4g12w,5g15w;7g14w,yes,,,
0x036d,prime:tangle,768,16,4,12,2,4g13w,5g15w,,,,
0x036e,prime:tangle,768,12,3,9,2,3g10w,4g12w,,,,
0x036f,prime:tangle,384,12,3,9,2,3g9w,4g12w,,,,
0x037c,prime:tangle,384,12,3,9,2,4g11w,4g12w,,,,
0x037d,prime:tangle,384,13,3,10,2,4g11w,4g11w,,,,
0x037e,prime:tangle,384,13,3,10,2,4g12w,4g12w,,,,
0x03c0,dec:AND/OR,32,11,3,8,2,3g8w,3g8w,,shell,6,True
0x03c1,prime:tangle,384,12,3,9,2,3g9w,4g11w,,,,
0x03c3,dec:AND/OR,192,10,3,7,2,3g7w,3g7w,,shell,2,True
0x03c5,prime:tangle,384,13,3,10,2,3g10w,4g10w,,,,
0x03c6,prime:tangle,384,13,3,10,2,3g10w,5g14w;6g13w,yes,,,
0x03c7,prime:tangle,768,11,3,8,2,3g8w,4g10w,,,,
0x03cf,dec:AND/OR,96,9,3,6,2,3g6w,3g6w,,,2,True
0x03d4,prime:tangle,384,12,3,9,2,3g9w,4g11w,,shell,,
0x03d5,prime:tangle,384,12,3,9,2,3g9w,4g11w,,shell,,
0x03d6,prime:tangle,384,13,3,10,2,3g10w,5g15w;6g14w,yes,,,
0x03d7,prime:tangle,384,11,3,8,2,3g8w,4g10w,,,,
0x03d8,prime:tangle,384,15,4,11,2,4g11w,4g12w,,shell,,
0x03d9,prime:tangle,768,15,4,11,2,4g11w,5g14w,,,,
0x03db,prime:tangle,384,13,3,10,2,3g10w,4g11w,,,,
0x03dc,prime:tangle,768,12,3,9,2,3g9w,4g11w,,shell,,
0x03dd,prime:tangle,384,11,3,8,2,3g8w,4g10w,,shell,,
0x03de,prime:tangle,768,13,3,10,2,4g11w,5g14w;6g13w,yes,,,
0x03fc,dec:XOR,96,11,3,8,2,3g8w,4g10w;5g9w,yes,shell,3,True
0x0660,dec:AND/OR,24,13,3,10,2,3g10w,4g11w,,shell,4,True
0x0661,prime:tangle,96,13,3,10,2,3g10w,4g13w,,shell,,
0x0662,prime:tangle,192,13,3,10,2,4g11w,4g11w,,,,
0x0663,prime:tangle,384,13,3,10,2,3g10w,4g12w,,shell,,
0x0666,dec:AND/OR,96,11,3,8,2,3g8w,4g9w,,shell,2,True
0x0667,prime:tangle,192,11,3,8,2,3g8w,3g8w,,shell,,
0x0669,dec:MUX,96,17,4,13,2,4g13w,4g13w,,,6,False
0x066b,prime:tangle,192,17,4,13,2,4g13w,4g13w,,,,
0x066f,dec:MUX,48,13,3,10,2,3g10w,3g10w,,shell,2,True
0x0672,prime:tangle,384,15,4,11,2,4g11w,5g14w,,,,
0x0673,prime:tangle,384,13,3,10,2,4g11w,4g13w,,,,
0x0676,prime:tangle,384,13,3,10,2,3g10w,4g10w,,,,
0x0678,prime:tangle,384,13,3,10,2,3g10w,4g13w,,shell,,
0x0679,prime:tangle,384,16,4,12,2,4g12w,5g15w,,,,
0x067a,prime:tangle,768,13,3,10,2,3g10w,4g13w,,shell,,
0x067b,prime:tangle,384,16,4,12,2,4g12w,4g14w,,,,
0x067e,prime:tangle,384,12,3,9,2,3g9w,4g12w,,shell,,
0x0690,dec:MUX,48,15,4,11,2,4g11w,4g11w,,,7,False
0x0691,prime:tangle,384,16,4,12,2,4g12w,5g15w,,,,
0x0693,prime:tangle,384,16,4,12,2,4g12w,5g14w,,,,
0x0696,dec:MUX,192,15,4,11,2,4g11w,4g11w,,,2,True
0x0697,prime:tangle,384,15,4,11,2,4g12w,4g13w,,,,
0x069f,dec:MUX,48,14,4,10,2,4g10w,4g10w,,,0,True
0x06b0,prime:tangle,192,16,4,12,2,4g12w,5g14w,,,,
0x06b1,prime:tangle,768,16,4,12,2,4g12w,5g15w,,,,
0x06b2,prime:tangle,384,15,4,11,2,4g11w,4g11w,,shell,,
0x06b3,prime:tangle,768,16,4,12,2,4g12w,5g14w,,,,
0x06b4,prime:tangle,384,16,4,12,2,4g12w,5g15w,,shell,,
0x06b5,prime:tangle,768,17,4,13,2,4g13w,5g15w,,shell,,
0x06b6,prime:tangle,384,15,4,11,2,4g11w,4g11w,,shell,,
0x06b7,prime:tangle,384,16,4,12,2,4g12w,4g12w,,shell,,
0x06b9,prime:tangle,384,16,4,12,2,4g12w,4g12w,,,,
0x06bd,prime:tangle,384,16,4,12,2,4g13w,5g15w,,,,
0x06f0,dec:MUX,96,13,3,10,2,4g11w,4g13w,,,4,True
0x06f1,prime:tangle,384,13,3,10,2,4g11w,4g12w,,,,
0x06f2,prime:tangle,384,15,4,11,2,4g11w,4g12w,,shell,,
0x06f6,dec:MUX,96,14,4,10,2,4g10w,4g10w,,shell,2,True
0x06f9,dec:XOR,96,16,4,12,2,4g12w,5g14w,,,4,False
0x0776,prime:tangle,96,15,4,11,2,4g11w,4g11w,,,,
0x0778,dec:MUX,192,13,3,10,2,3g10w,5g16w;6g12w,yes,shell,5,False
0x0779,prime:tangle,192,16,4,12,2,4g12w,4g13w,,,,
0x077a,prime:tangle,384,12,3,9,2,3g9w,4g12w,,shell,,
0x077e,prime:tangle,192,13,3,10,2,3g10w,4g13w,,shell,,
0x07b0,prime:tangle,192,13,3,10,2,3g10w,5g13w,,,,
0x07b1,prime:tangle,768,13,3,10,2,3g10w,4g11w,,,,
0x07b4,prime:tangle,768,16,4,12,2,4g12w,5g14w,,,,
0x07b5,prime:tangle,384,13,3,10,2,4g11w,5g14w,,,,
0x07b6,prime:tangle,768,16,4,12,2,4g12w,5g15w,,shell,,
0x07bc,prime:tangle,384,16,4,12,2,4g12w,5g15w,,,,
0x07e0,prime:tangle,96,13,3,10,2,3g10w,5g14w;6g13w,yes,,,
0x07e1,prime:tangle,384,13,3,10,2,3g10w,4g12w,,,,
0x07e2,prime:tangle,384,16,4,12,2,4g12w,5g13w,,shell,,
0x07e3,prime:tangle,384,13,3,10,2,4g11w,5g14w;6g13w,yes,,,
0x07e6,prime:tangle,192,15,4,11,2,4g11w,4g11w,,shell,,
0x07e9,prime:tangle,192,13,3,10,2,3g10w,4g13w,,,,
0x07f0,dec:MUX,192,11,3,8,2,3g8w,4g10w,,,2,True
0x07f1,prime:tangle,192,11,3,8,2,3g8w,4g10w,,shell,,
0x07f2,prime:tangle,384,13,3,10,2,4g10w,4g11w,,,,
0x07f8,dec:XOR,192,13,3,10,2,4g11w;5g10w,5g14w;6g13w,yes,,2,True
0x0ff0,dec:XOR,12,9,3,6,2,3g6w,3g6w,,shell,4,True
0x1668,symmetric,16,13,3,10,2,3g10w,3g10w,,shell,,
0x1669,symmetric,32,19,4,15,2,4g15w;6g13w,4g15w,yes,shell,,
0x166a,prime:tangle,128,13,3,10,2,3g10w,4g14w;6g13w,yes,shell,,
0x166b,prime:tangle,64,18,4,14,2,4g14w;6g13w,4g14w,yes,shell,,
0x166e,prime:tangle,192,13,3,10,2,3g10w,4g13w,,shell,,
0x167e,prime:tangle,128,12,3,9,2,3g9w,3g9w,,shell,,
0x1681,prime:tangle,32,16,4,12,2,4g12w,4g15w,,,,
0x1683,prime:tangle,192,16,4,12,2,4g12w,4g13w,,,,
0x1686,prime:tangle,192,16,4,12,2,4g13w,5g15w,,,,
0x1687,prime:tangle,384,16,4,12,2,4g13w,5g16w,,,,
0x1689,prime:tangle,128,16,4,12,2,4g14w;5g13w,4g14w,yes,,,
0x168b,prime:tangle,384,16,4,12,2,4g13w,5g16w,,,,
0x168e,prime:tangle,384,16,4,12,2,4g12w,4g13w,,,,
0x1696,prime:tangle,128,15,4,11,2,4g12w,4g13w,,,,
0x1697,prime:tangle,64,15,4,11,2,4g11w,4g12w,,,,
0x1698,prime:tangle,192,17,4,13,2,4g13w,5g16w,,shell,,
0x1699,prime:tangle,384,16,4,12,2,4g13w,5g15w,,,,
0x169a,prime:tangle,768,17,4,13,2,4g13w,5g15w,,,,
0x169b,prime:tangle,384,16,4,12,2,4g13w,5g16w,,,,
0x169e,prime:tangle,192,16,4,12,2,4g12w,4g12w,,,,
0x16a9,prime:tangle,192,16,4,12,2,4g12w,5g16w,,,,
0x16ac,prime:tangle,384,16,4,12,2,4g12w,5g17w;7g15w,yes,,,
0x16ad,prime:tangle,384,16,4,12,2,4g12w,4g14w,,,,
0x16bc,prime:tangle,384,16,4,12,2,4g12w,6g14w,,,,
0x16e9,dec:XOR,64,16,4,12,2,4g12w,4g12w,,,5,False
0x177e,symmetric,32,13,3,10,2,3g10w,3g10w,,shell,,
0x178e,prime:tangle,96,13,3,10,2,3g10w,4g10w,,shell,,
0x1796,prime:tangle,64,16,4,12,2,4g12w,4g14w,,,,
0x1798,prime:tangle,384,15,4,11,2,4g11w,5g15w;6g13w,yes,,,
0x179a,prime:tangle,384,16,4,12,2,4g12w,4g12w,,,,
0x17ac,prime:tangle,384,16,4,12,2,4g12w,5g16w;6g13w,yes,,,
0x17e8,dec:XOR,32,13,3,10,2,3g10w,5g10w,,shell,2,True
0x18e7,dec:XOR,32,16,4,12,2,4g12w,4g12w,,,5,False
0x19e1,prime:tangle,96,17,4,13,2,4g13w,6g15w,,,,
0x19e3,prime:tangle,192,17,4,13,2,4g13w,6g18w;7g17w,yes,,,
0x19e6,dec:XOR,192,16,4,12,2,4g13w,5g16w;6g14w,yes,,4,False
0x1bd8,prime:tangle,24,17,5,12,2,4g14w;5g12w,5g12w,yes,,,
0x1be4,dec:XOR,96,18,4,14,2,4g15w;5g14w;6g13w,5g14w;6g13w,yes,,1,False
0x1ee1,dec:XOR,48,16,4,12,2,4g12w,5g16w;6g14w,yes,,4,False
0x3cc3,dec:XOR,8,14,4,10,2,4g10w,4g10w,,,5,False
0x6996,symmetric,2,25,5,20,2,5g20w;7g18w,5g20w;7g18w,yes,shell,,
